reads_per_thread,step,stride,bandwidth
256,64,64,2801.410
256,64,128,2142.860
256,64,256,1576.759
256,64,512,1685.922
256,64,1024,1822.508
256,64,2048,1826.228
256,64,4096,1217.769
256,64,8192,604.661
256,64,16384,302.450
256,64,32768,150.624
256,64,65536,76.204
256,64,131072,37.923
256,64,262144,19.005
256,64,524288,17.504
256,64,1048576,15.225
